,Company,Designation,Date Listed,Job Type,Job Period,Profession,Industry,Location Name,Allowance / Remuneration,Company Profile,Job Description
905,NCS Group,IT Support Engineer,24 Apr 2024,Entry Level / Junior Executive,Immediate Start - 31 Mar 2026,IT / Information Technology,Computer and IT,Singapore,"$1,900 - 2,400 monthly","NCS is a leading technology services firm, operating across Asia Pacific in over 20 cities, providing services and solutions in consulting, digital, technology, cybersecurity and more. We believe in the power of technology to make extraordinary things happen and to create lasting impact and value for our people, communities and partners. We bring together people and expertise to harness the best of technology. Our diverse 12,000-strong workforce has delivered a wealth of large-scale, mission-critical, and multi-platform projects for governments and enterprises in Singapore and the APAC region.","This position provides the desktop support for the first contact point for customers, you will be responsible to provide prompt assistance to customers, addressing a range of IT topics and issues. Besides, you will ensure that software, licenses and operations comply with standards.Perform End User Support – Client ManagementPerform troubleshooting for client platform related problems.Respond promptly to incident, investigate & provide temporary &/or permanent resolution of incidents escalated. Provide timely status updates to relevant parties.Perform service request related to client platforms.Monitor the agreed service level, document & maintain the configuration of the systems; provide regular reporting to relevant parties.Involve in client platform implementation/upgrade project.Perform follow-up with vendor on replacement of hardware.Perform asset management & update asset records.Perform user account management (eg. Create password, reset & delete)Perform local server administration to facilitate software distribution & patch management service.Manage client platform implementation / upgrade project.Ensure deliverables meet service level requirement. Propose and implement action plan when required.Established facility management standards/best practices to ensure operation consistency across project / facility management teams.Submit progress reports.Qualifications:Candidate with minimum Higher Nitec, Diploma Certification in Computer/Electronic Engineering or equivalent disciplinePreferably with 1 or more years related experience in Technology Administration. Some network knowledge will be an advantage.Computer literacy in MS OfficeProficiency in Technology will be added advantageIndependent, resourceful, result-oriented individuals with a ""can-do"" attitude"
906,Eventions Group,Events Coordinator (Intern),24 Apr 2024,Entry Level / Junior Executive,"Immediate Start, For At Least 1 Month",Events / Promotions,Advertising / Event / Exhibit,"Howard Road, Novelty BizCentre, Singapore","$950 - 1,200 monthly","Eventions Group is an award-winning integrated agency providing full turnkey solutions from strategy to execution, serving clients and key accounts ranging from Fortune Top 500 companies to major local brands.We create market-leading campaigns and productions across live, hybrid and digital forms, optimizing audience communication and brand experience in both local and regional markets.","Job Scope:On-Site Activation Execution & FacilitationPre-Event Preparation & Post-Event ArchivingAssisting & Coordinating in Setup and Dismantling (suppliers / resources)Basic Administrative Management DutiesAssist in preparation of pitches and operation planning.Requirements:Able to work independently and as a team player.Able to multi-task in a fast paced environment.Excellent communication, presentation and negotiation skillsProactive, Flexible, initiative, meticulous, efficient and responsible.Great learning attitudeJob Scope:On-Site Activation Execution & FacilitationPre-Event Preparation & Post-Event ArchivingAssisting & Coordinating in Setup and Dismantling (suppliers / resources)Basic Administrative Management DutiesAssist in preparation of pitches and operation planning.Requirements:Able to work independently and as a team player.Able to multi-task in a fast paced environment.Excellent communication, presentation and negotiation skillsProactive, Flexible, initiative, meticulous, efficient and responsible.Great learning attitude"
907,Eventions Group,Intern (Content & Video Editing),24 Apr 2024,Entry Level / Junior Executive,"Immediate Start, For At Least 3 Months",Advertising / Media,Creative / Media,"Howard Road, Novelty BizCentre, Singapore","$950 - 1,500 monthly","Eventions Group is an award-winning integrated agency providing full turnkey solutions from strategy to execution, serving clients and key accounts ranging from Fortune Top 500 companies to major local brands.We create market-leading campaigns and productions across live, hybrid and digital forms, optimizing audience communication and brand experience in both local and regional markets.","Responsibilities:Assist in Shoot & Editing of Production ContentAssist in research & ideation of production contentAssist with publishing management & social media marketingBasic content copywritingPreparation and organization of video production including video footage, images, visual effects, audio(music & sound effects)Coordinating logistics, resources, and suppliers for campaigns / productions.Involved in Setup and Dismantling of Production SetsBasic Administrative Management DutiesAnimation and/or Design knowledge and skill sets a plusRequirements:Diploma in Film and Media studies, Mass Communication or equivalentProficient in Adobe Creative Suite, Final Cut editing softwares etc.Basic camera technical knowledge as well as video editing software knowledge.Able to work independently and as a team player.Able to multi-task in a fast paced environment.Excellent communication, presentation and negotiation skillsProactive, Flexible, initiative, meticulous, efficient and responsible.Great learning attitude"
908,Wild Honey,Guest Relationship Officers,24 Apr 2024,Entry Level / Junior Executive,Flexible Start - Flexible End,Customer Service / Communications,Food Services / F&B,"333A Orchard Road, Mandarin Gallery, Singapore","$800 - 1,500 monthly","Wild Honey is all about beautiful breakfasts, all day everyday. It provides an affordable yet luxurious, a chance to become an armchair traveler. A home away from home for guests, friends and team members.Working at Wild Honey provides an opportunity to bring some of the cues of fine dining to all day casual dining. It is a fun, vibrant and exciting place to work. As an employee of Wild Honey you will be able to make an impact every day, through teamwork, passion and an unwavering commitment to ensure every guest has an exceptional dining experience.","Welcome guests as they arrive at the restaurant, offering a warm and friendly greeting.Provide information about the restaurant, including the menu, specials, and any promotions or events.Assist guests with seating arrangements, and special requests, ensuring that their preferences are accommodated whenever possible.Escort guests to their tables and present menus, making personalized recommendations based on their preferences and dietary restrictions.Engage with guests throughout their meal, checking in periodically to ensure that they are satisfied with their experience and addressing any concerns or issues promptly.Handle guest feedback and complaints professionally and diplomatically, seeking solutions to resolve any issues and prevent negative experiences.Coordinate with restaurant staff, including servers, chefs, and managers, to ensure smooth service and timely delivery of orders.Anticipate guests' needs and provide attentive and personalized service to enhance their dining experience.Assist with special events, private parties, and VIP guests as needed, ensuring that their needs and expectations are met or exceeded.Maintain a neat and organized workspace, including the reception area and host station.Build and maintain positive relationships with regular guests, recognizing and acknowledging them during their visits.Stay updated on restaurant policies, procedures, and offerings to provide accurate information to guests.Uphold the restaurant's standards of hospitality, professionalism, and service excellence at all times.QualificationsPrevious experience in guest relations, customer service, or hospitality roles is preferred.Exceptional interpersonal and communication skills, with a welcoming and approachable demeanor.Ability to remain calm and composed under pressure and handle challenging situations with tact and diplomacy.Ability to work well independently as well as part of a team in a fast-paced environment.Flexibility to work evenings, weekends, and holidays as required.Proficiency in additional languages is a plus.Basic knowledge of Sevenrooms is a plus.Other InformationThis job description is intended to convey information essential to understanding the scope of the position and is not an exhaustive list of skills, efforts, duties, responsibilities, or working conditions associated with it. Management reserves the right to modify duties or job descriptions at any time."
909,Wild Honey,Barista,24 Apr 2024,Entry Level / Junior Executive,Flexible Start - Flexible End,Customer Service / Communications,Food Services / F&B,"333A Orchard Road, Mandarin Gallery, Singapore","$800 - 1,500 monthly","Wild Honey is all about beautiful breakfasts, all day everyday. It provides an affordable yet luxurious, a chance to become an armchair traveler. A home away from home for guests, friends and team members.Working at Wild Honey provides an opportunity to bring some of the cues of fine dining to all day casual dining. It is a fun, vibrant and exciting place to work. As an employee of Wild Honey you will be able to make an impact every day, through teamwork, passion and an unwavering commitment to ensure every guest has an exceptional dining experience.","Responsibilities:Prepare and serve a variety of hot and cold beverages, including coffee, espresso, tea, smoothies and cocktails according to company recipes and standards.Operate espresso machines, grinders, blenders, and other equipment safely and efficiently.Ensure the quality and consistency of beverages by following proper preparation techniques and recipes.Maintain a clean and organized workspace, including cleaning equipment, utensils, and serving areas regularly.Follow all safety, sanitation, and hygiene procedures to ensure a safe and clean environment for customers and employees.Assist with opening and closing duties, including preparing ingredients, restocking supplies, and cleaning equipment and facilities.Act with integrity, honesty and knowledge that promote the culture, values, and mission of Wild Honey.QualificationsQualifications:Previous experience as a barista or in a similar role preferred but not essential.Knowledge of coffee and espresso beverages, including brewing techniques, espresso extraction, and milk steaming.Ability to work in a fast-paced environment and multitask effectively.Attention to detail and the ability to follow recipes and instructions accurately.Flexible schedule, including availability to work mornings, evenings, weekends, and holidays as needed.Food handling and safety certification preferred."
910,Advisors Alliance Group,Financial Services Intern,09 May 2024,Entry Level / Junior Executive,"Flexible Start, For At Least 1 Month",Banking / Finance,Finance,"Raffles Place, Singapore","$500 - 4,000 monthly","Advisors Alliance Group, one of the largest and fastest growing Financial Services Group in Singapore, also the first Financial Services Group in Singapore and whole AIA in 18 countries to achieve the prestigious 100 International Dragon Award (IDA).Guided by the vision, mission, and values, Advisors Alliance Group is in constant pursuit of achieving world-class standards in instructional practice, operating system, culture, philosophies and most importantly bringing valued service to the clients. The organisation believe in impacting lives and always bringing people from where they are today to places they have never been.Over the years, Advisors Alliance Group has built deep roots within the major varsities in Singapore, namely NUS, NTU and SMU, and pioneered the Entrepreneur Internship Programme that has been conducted annually since 2002.Advisors Alliance Group have also adopted a secondary focus to give back to society, through the Goldencare Project, Volunteer Work, Charity, Community Work, and AACares Fund, in collaboration with North West CDC.","OBJECTIVEExpose the interns to the financial services sector.Create a leadership experience and opportunity for our Management Associate position.AREAS OF STUDYThe Career Options in the Financial Services IndustryWealth Management – Retirement, Wealth Expansion/PreservationRisk Management – Corporate/Individual Risk CalculationCredit Cards and Credit ManagementFinancial Portfolio Design and ArchitectSales and Marketing ConceptsBusiness Management & Principles of EntrepreneurshipOne to one mentorship by award winning mentors"
911,"Write Edge, Singapore",English Teacher,24 Apr 2024,Entry Level / Junior Executive,Flexible Start - Flexible End,Education / Training,Public Service / Education / Publishing,Singapore,"$400 - 2,000 monthly","At Write Edge, we specialise in providing high-quality English and Writing tuition classes for Primary and Secondary school students in Singapore.The English enrichment centre was founded in 2014 with a vision to deliver exceptionally effective lessons that help to build a strong foundation in the English language and nurture writing skills in young students.From just 12 students and 1 branch in Lorong Ah Soo, Singapore, Write Edge has since expanded to 8 physical branches and has online presence in both Singapore and Malaysia.With decades of combined teaching, curriculum and education management experience, we’ve got a well-seasoned team at the helm. We work very hard to help our students have the best experience at Write Edge and take great pride in what we do.Our Vision: To be Singapore's Leading English and Writing Enrichment SpecialistOur Mission: To make the Mastery of English and Writing possible for every studenthttp://write-edge.com/careers","English Teacher (Part-time)English Teacher (Part-time Specialist English and Writing Teacher)Are you passionate about English and want to explore a career in education? If the answer is YES then WE want you!Write Edge is looking for like-minded people to join us as a Part-Time Specialist English and Writing Teacher across all our physical locations in Singapore!As a Specialist English and Writing Teacher, you willTeach classes with small class sizes of up to 8 students, based on our teaching materials.Each class duration is 2 hours.We are looking for educators who:Can communicate in English proficientlyScored a minimum of B3 for English Language O Levels / A LevelsWe are only looking for candidates familiar with the Singapore curriculum and assessment systems. We will provide you with the training and teaching materials.Location(s): Across branchesPlease see the list of locations at https://www.write-edge.com/locate-us/Work Hours:Flexible ScheduleTake 4 or more classes between:Weekdays: 1pm - 10pmWeekend: 830am - 630pmRead more about how it is like to work at Write Edge here: https://tinyurl.com/WEglassdoor"
912,The Copy Boy,Business Development Intern,24 Apr 2024,Entry Level / Junior Executive,"Flexible Start, For At Least 3 Months",Sales / Retail,Manufacturing Food / Lifestyle / Packaging,"65 Ubi Road 1, Singapore","$800 - 1,000 monthly","A young and upcoming leader in the printing industry, we handle everything from Offset to Digital printing; serving startups, SMEs and large corporations. You may find many familiar names among those we serve. As a young and vibrant company, we have a relatively flat structure and room for innovation and growth within the company and as a company.","Key Responsibilities1. Market Research & AnalysisConduct market research to identify potential clients and industry trendsAnalyse competitors and market demands to assist in developing effective sales strategies.2. Lead Generation & ProspectingAssist in prospecting and reaching out to potential clients to introduce our services.Identify and generate leads through various channels, including online research and networking events.3. Client Relationship ManagementBuild and maintain strong relationships with existing clients.Gather feedback from clients to improve our services and customer satisfaction.4. Business Development SupportAssist sales team in preparation of proposals, presentations and sales collateral.Partake in client meetings to understand their requirements and offer suitable solutions."
913,Hoz Pte Ltd,eCommerce Intern,24 Apr 2024,Entry Level / Junior Executive,"Immediate Start, For At Least 6 Months",Advertising / Media,Retail / eCommerce,"113 Eunos Avenue 3, Singapore",$400 - 800 monthly,"Pronounced as ""House"" and created in 2019, we hoped to touch the lives of each household and build a connection with the people of Singapore. As Hoz will be able to provide its services in a way we can make their lives better through smart home solutions. Where an individual and families alike for example will be able to have a good understanding of their electrical consumption through smart electricity monitoring. Have a refreshing air space in homes with smart purifiers or even indulge with house keeping with smart vacuum robots.","Job DescriptionWe are seeking a talented and interesting E-commerce Intern to join our team. As an E-commerce Intern, you will be responsible for managing and optimizing our online sales channels and driving revenue growth. Your expertise in e-commerce platforms, digital marketing, and data analysis will play a crucial role in enhancing our online presence and maximizing sales opportunities.Responsibilities:Oversee development and maintenance of online store/website Monitor competition and collect customer’s feedback to identify potential areas of improvement and growth Manage online sales, promotions and social media campaignsRequirements:Detail-oriented mindset with a focus on accuracy and quality assurance. Strong problem-solving skills and adaptability in a fast-paced, ever-changing e-commerce environment. Join our dynamic team and contribute your expertise in e-commerce and digital marketing to drive online sales growth and enhance our customers' online shopping experience."
914,SPH Media Limited,Customer Experience Officer Intern,24 Apr 2024,Entry Level / Junior Executive,"Immediate Start, For At Least 3 Months",Customer Service / Communications,Creative / Media,"1000 Toa Payoh North, Singapore 318994, Singapore","$800 - 1,000 monthly","Aligned with the evolution of the media landscape and our ambition to be a relentless creator of quality content and experiences, our brand refresh is yet another milestone for SPH Media. Our transformation journey started in 2022, on digitalisation, audience engagement and talent development. Throughout the journey, it remained steadfast in its mission to be the trusted source of news on Singapore and Asia. The refreshed brand stands for the importance of giving a voice to Singapore, while inspiring conversations and providing quality content that impact the lives of our audiences. We offer a varied portfolio of over 40 media brands ranging across news publications, lifestyle brands, and radio stations. We are relentless in our commitment to creating meaningful experiences that resonate deeply with our audiences.","Attend to phone-in enquiries, email correspondences and online chats on SPH newspaper and magazine subscriptions, promotions and delivery issues.Good communication (verbal & written) and problem solving skillsDigitally savvy and can assist in troubleshooting of digital and technical issuesPassionate about customer service with a cheerful dispositionMeticulous to assist with subscriptions processingGain insights into the daily operations of a contact centre that handle hotline calls, emails, online chats and walk-in customersLearn to manage customer relationships through effective follow-up and by providing appropriate resolutionsOpportunity to participate in ad-hoc projects and assist in administrative duties"
915,Wild Honey,Service Crew,24 Apr 2024,Entry Level / Junior Executive,Flexible Start - Flexible End,Customer Service / Communications,Food Services / F&B,"333A Orchard Road, Mandarin Gallery, Singapore","$800 - 1,500 monthly","Wild Honey is all about beautiful breakfasts, all day everyday. It provides an affordable yet luxurious, a chance to become an armchair traveler. A home away from home for guests, friends and team members.Working at Wild Honey provides an opportunity to bring some of the cues of fine dining to all day casual dining. It is a fun, vibrant and exciting place to work. As an employee of Wild Honey you will be able to make an impact every day, through teamwork, passion and an unwavering commitment to ensure every guest has an exceptional dining experience.","Greet customers warmly as they enter the restaurant and provide them with menus.Take customer orders accurately and efficiently, making recommendations and answering questions about menu items.Relay orders to the kitchen staff and ensure that they are prepared promptly and accurately.Serve food and beverages to guests in a timely and courteous manner.Check back with customers to ensure that they are satisfied with their meals and address any concerns or issues promptly.Monitor dining room cleanliness and appearance, including clearing tables, resetting them for the next guests, and maintaining a tidy work environment.Handle cash and card transactions accurately, process payments, and issue receipts.Collaborate with kitchen and bar staff to ensure smooth service and efficient operations.Assist with cleaning duties, such as sweeping, mopping, and sanitizing surfaces, to maintain a clean and safe environment for guests and staff.Adhere to all food safety and sanitation guidelines, including proper food handling and storage procedures.Attend training sessions and staff meetings as required.Uphold the restaurant's standards of quality, service, and hospitality at all times.Perform other duties as assigned by management to support the team and meet the needs of the restaurant.QualificationsHigh school diploma or equivalent preferred.Previous experience in a restaurant or customer service role is preferred but not required.Excellent interpersonal and communication skills, with a friendly and outgoing personality.Ability to work well under pressure in a fast-paced environment.Strong attention to detail and accuracy, especially when taking orders and handling payments.Basic math skills and the ability to handle cash transactions.Flexibility to work various shifts, including evenings, weekends, and holidays.Ability to stand and walk for extended periods and lift up to 25 pounds.Food safety certification is a plus but not required.Other InformationThis position is concerned with the courteous and prompt manner of providing service to guests according to Wild Honey 's standard."
916,Magellan & Co. Summer Finance Intern,Summer Internship Program 2024 (Financial Services),24 Apr 2024,Entry Level / Junior Executive,"From 20 May 2024, For At Least 1 Month",Banking / Finance,Finance,"Shenton Way, Singapore","$2,000 monthly","About UsWe're the dream team builders, the talent cultivators, and the champions of transforming lives. At Magellan & Co., we're on a mission to build purpose-driven careers!We also seek to transform the lives of our clients through quality financial advice to life’s unexpected crises in the foreseeable future. We offer real solutions to manage risk so our clients can enjoy a peace of mind.","About the ProgrammeThe Summer Internship Programme is a 5-weeks long programme that aims to provide you with practical insights into the growing financial services sector. As part of the programme, you will also be able to obtain licensing papers that are recognised.Upon completing the program, you will walk away with3 key takeaways:Personal Financial LiteracySales & Marketing skills, including personal brandingDevelopment of entrepreneurial skillsKey Activitiesin the program are:Managing CashflowThe Fundamentals of InvestmentProperty PlanningFinancial PlanningTaxes & EstateMarketing and Events PlanningArt of CommunicationIntroduction to EnneagramThe Amazing RaceProfessional CertificationsProgramme Date:20th May to 21st JuneRemuneration:SGD 2,000 (T&C applies)Who are we looking for?21 years old and aboveAble to commit for the duration of the internshipObtained a Diploma from local polytechnics or A-Level certificateFun-loving individual with an open mindA team player who enjoys working and collaborating with others"
917,Thye Hua Kwan Moral Charities,Social Worker,24 Apr 2024,Entry Level / Junior Executive,Flexible Start - Flexible End,Social Services / Charity,Social Services,"2 Chai Chee Drive, Singapore","$800 - 1,500 monthly","Since October 2011,Thye Hua Kwan Moral Charities (THKMC)was incorporated as a charity with an IPC status to provide multiple social and welfare services to the community at large.THKMC provides assistance to the various groups in our community through more than 60 programmes and services for theelderly and the sick,families,persons with disabilities, andchildren.We help anyone in need with full respect to their race, colour, creed, language, culture and religion. We have more than 90 programmes and services, reaching out to more than 55,000 people in the community.Together, as ONETHK – Empowering the Community.","Clinical AspectsProvide social work services, including casework management, groupwork, counselling, home/site visits, and conduct assessment interviews on clients and their family membersDevelop, implement and review of individualised care plans with the multi-disciplinary teamConduct comprehensive assessments of client care and financial needs, and submit NMTS and MFEC applications as requiredManage emergency response and crisis management with regards to clients’ behaviour management with the multi-disciplinary teamWork with the team to manage crisis placements by Child Protective Services or Adult Protective ServicesProvide caregiver support and organise relevant caregiver's engagement sessions. Build good rapport with relevant stakeholders and external agencies to mobilize resources to meet the client’s needsProcess and Resources Aspects:Maintain accurate and timely updates of case recordings, client profiles and other related case work management processesAdhere to the standard operating procedures and case work practicesMaintain and compile statistics for reporting, funding or audit purposesQualificationsDegree in Social Work/ Post Graduate in Social WorkOther InformationGood teamwork and interpersonal skills with the ability to work in a multidisciplinary team; and a high level of integrity"
918,Thye Hua Kwan Moral Charities,Social Worker,24 Apr 2024,Entry Level / Junior Executive,Flexible Start - Flexible End,Social Services / Charity,Social Services,"2 Chai Chee Drive, Singapore","$800 - 1,500 monthly","Since October 2011,Thye Hua Kwan Moral Charities (THKMC)was incorporated as a charity with an IPC status to provide multiple social and welfare services to the community at large.THKMC provides assistance to the various groups in our community through more than 60 programmes and services for theelderly and the sick,families,persons with disabilities, andchildren.We help anyone in need with full respect to their race, colour, creed, language, culture and religion. We have more than 90 programmes and services, reaching out to more than 55,000 people in the community.Together, as ONETHK – Empowering the Community.","Clinical AspectsProvide social work services, including casework management, groupwork, counselling, home/site visits, and conduct assessment interviews on clients and their family membersDevelop, implement and review of individualised care plans with the multi-disciplinary teamConduct comprehensive assessments of client care and financial needs, and submit NMTS and MFEC applications as requiredManage emergency response and crisis management with regards to clients’ behaviour management with the multi-disciplinary teamWork with the team to manage crisis placements by Child Protective Services or Adult Protective ServicesProvide caregiver support and organise relevant caregiver's engagement sessions. Build good rapport with relevant stakeholders and external agencies to mobilize resources to meet the client’s needsProcess and Resources Aspects:Maintain accurate and timely updates of case recordings, client profiles and other related case work management processesAdhere to the standard operating procedures and case work practicesMaintain and compile statistics for reporting, funding or audit purposesQualificationsDegree in Social Work/ Post Graduate in Social WorkOther InformationGood teamwork and interpersonal skills with the ability to work in a multidisciplinary team; and a high level of integrity"
919,Bizlink Centre Singapore Ltd,Training Assistant Intern,24 Apr 2024,Entry Level / Junior Executive,"Immediate Start, For At Least 3 Months",Social Services / Charity,Social Services,"512 Chai Chee Lane, Singapore","$800 - 1,000 monthly","Bizlink Centre is a non-profit organization dedicated to serving the disadvantaged individuals, in particular persons with disabilities, through training and employment in Singapore. Bizlink is a registered charity with the office of the Commissioner of Charities and is conferred the status of the Institution of Public Character (IPC).Bizlink has been serving the disability community since 1986.Today, individuals, regardless of their disabilities and disadvantaged background, are enabled through work within an inclusive community.","Assist Main Trainers in all aspects of facilitation or training for People with Disabilities (PWDs) and other advantaged individuals.Assist the Main Trainers to design, develop and conduct training programmes for PWDs and other advantaged individuals.Training, supervising, maintaining and developing the functional skills of clients in the areas of vocational, community living and social participation.Assist Main Trainers to develop and monitor the Individual Development Plans for PWDs.Updating Individual Training Plans for PWDs.Daily attendance taking for assigned group.Conduct mobility training for PWDs.Any other duties assigned by Supervisor.Job Requirements:Pursuing in Degree/Diploma in Business & Social Enterprise, Psychology, Social Work or relevant studies.Proficient in MS OfficeExcellent interpersonal, oral and written communication skills, with good presentation skillsAble to work independently and in teamsHave the patience and passion to work with disabilities and the needy"
920,Super Cuddles Pte Ltd,Dog Care Specialist,24 Apr 2024,Entry Level / Junior Executive,"Immediate Start, Permanent",Others / General Work,Others,"71A Geylang Road, Singapore",$9 hourly,Super Cuddles is a family owned dog hotel & daycare. We take care of our pack when their families go on holidays or work long hours. We are their second home!,We are looking for a few good people to join our expanding team. You MUST have the following attributes:Physically fitLove for dogsFun & CreativeWillingness to learn
921,Roger International Equipment & Services Pte Ltd,Data Engineer,24 Apr 2024,Entry Level / Junior Executive,"Immediate Start, For At Least 3 Months",Admin / Secretarial,Marine and Offshore Engineering,"4001 Ang Mo Kio Industrial Park 1, Singapore","$1,100 - 1,600 monthly","Established in 2002, Roger International is a one-stop provider for Compressors, Condensers, Spare Parts, Heat Exchangers/Evaporator Coils, Fresh Water/Seawater-Cooled Packaged Air-Conditioners, Split Air-Conditioners (Cooling/Heating Capabilities) & Remanufactured Compressors and total HVAC Solutions for Marine & Industrial needs. It has grown from local Singapore as its main Head office and now well established in China and towards Europe.","Must know how to perform Python and AutohotkeyPerform Data EntryRetrieve, process, and analyze data.To carry out any other duties assigned from time to time when required."
922,Recruit Express Group,HR Intern (Talent Acquisition),24 Apr 2024,Entry Level / Junior Executive,"Flexible Start, For At Least 2 Months",Human Resources,Human Resources,"Orchard Road, Ngee Ann City, Singapore","$1,000 - 2,000 monthly","Recruit Express Group is part of Singapore Mainboard Listed HRnetGroup (SGX:CHZ), a homegrown Singapore brand that is today the largest Asia-based recruitment agency in Asia Pacific (ex-Japan). We are an award-winning & leading flexible staffing solutions group with an established track record of over 20 years and operations across multiple Asian growth cities including Taipei, Hong Kong and Kuala Lumpur. With our vast network of resources, extensive databases and defined recruitment processes, we specialise in partnering businesses to best bridge manpower gaps and talents and achieve their business objectives.As a Listed Group, we were recognised as Singapore’s Best Managed Companies 2022 & 2023 by global accounting group Deloitte– in recognition of organisational growth and achievement for the past year(s).","As a Human Resource Intern, you will have the opportunity to learn and gain hands-on experience in various aspects of the talent acquisition process.KeyResponsibilities:Assist with sourcing and screening potential candidates for various job openings.Conduct phone screens and schedule interviews with candidates.Participate in the interview process by conducting in-person or virtual interviews with candidates.Assist with drafting job descriptions and job postings.Help to coordinate and participate in on-campus recruitment events and career fairs.Support the HR team with various projects and initiatives related to talent acquisition.Qualifications:A Levels/Diploma, or undergraduate in Human Resources, Business Administration, Psychology, or strong interest in the fieldStrong communication and interpersonal skillsAbility to prioritize and manage multiple tasks in a fast-paced environmentPeople-oriented and Team basedProficient in Microsoft Office SuiteThis is an excellent opportunity to gain practical experience in the talent acquisition field. If you are interested in this opportunity, please submit your updated resume for consideration."
923,CSC Joy,Business Development Executive,24 Apr 2024,"Entry Level / Junior Executive, Experienced / Senior Executive","Flexible Start, Permanent",Admin / Secretarial,Finance,"371 Alexandra Road, Singapore","$1,100 - 2,000 monthly","Founded in 1969,  CSC Planners provides insurance, investment and wealth solutions to our customers.CSC Planners strives to make it easy for customers by providing them with responsive support, innovative products, fast claims and hassle-free enrolment.Our comprehensive suite of solutions include Life, Investment and Legacy planning for individual customers and Keyman and Partnership  insurance for business owners.With more than 50 years of experience - our products and service are well received and trusted by our clients in Singapore and around the world.",1) Identify markets for our products and services2) Develop marketing and promotional strategies with the primary objectives to acquire new customers3) Social Media Marketing - scheduling and content creation (we will teach you!)4) Planning and organizing seminar events (we will teach you!)5) Leverage on technology to enhance business goals; identify areas for improvement and drive implementation6) Crafting risk and wealth solutions7) Client Service
924,Ochre Pictures Privated Limited,Media Intern,24 Apr 2024,Entry Level / Junior Executive,"From 06 May 2024, For At Least 3 Months",Advertising / Media,Creative / Media,"Marymount Road, Marymount MRT Station (CC16), Singapore",$500 - 700 monthly,"Media Intern for DocudramaAbout Us:About Ochre Pictures, we take immense pride in being one of Singapore's leading independent content production companies. Since our establishment in 2000, we have successfully produced over 600 hours of television content, which has been broadcasted in more than 20 countries, including local channels in Singapore and international networks. Our diverse portfolio includes factual series, drama series, telefeatures, and entertainment & lifestyle programs. We have partnered with renowned channels such as National Geographic, Discovery Channel, Disney, MediaCorp Suria, and many others. For more information, please visit www.ochrepictures.com.","Position Overview:We are seeking a motivated and creative media intern to join our team and assist in the production of a docudrama project. This internship offers hands-on experience in various aspects of media production, with a specific focus on researching, scripting, filming, and editing docudramas.Key Responsibilities:Participate in pre-production planning, including location scouting, styling, casting, and scheduling.Support the production team during filming, including setting up equipment, assisting with lighting and sound, and other on-set tasks.Collaborate with editors to review footage, provide input on editing decisions, and assist with post-production tasks as needed.Qualifications:Currently enrolled in or recent graduate of a relevant degree program (e.g., film studies, media production, communications, etc.).Ability to work effectively both independently and as part of a team.Previous experience in media production (e.g., coursework, internships, personal projects) is a plus but not required."
925,Cheers Holdings (2004) Pte Ltd,Manager Assistant (Petrol Station),24 Apr 2024,Entry Level / Junior Executive,"Immediate Start, Permanent",Sales / Retail,Retail / eCommerce,"1 Joo Koon Cir, Singapore 629117, Singapore","$2,800 - 3,300 monthly","Cheers convenience stores are located in over 160 locations in Singapore. Cheers and FairPrice Xpress outlets are also in Esso Service Stations. To help you save time, Cheers 24-hr convenience stores provide everything you need under one roof. From topping up your cash card to paying your bills, and even dropping off a parcel or enjoying a piping hot pastry - all within a Cheers outlet near you!","To assist Station Manager in achieving the following roles and responsibilities:Supervise and coordinate daily operations, including fuel sales, inventory management, cash handling and facility management. Ensure compliance with safety and environmental regulations.Recruit, train and manage a team of staff. Assign duties, schedule shifts, payroll handling, people development and provide guidance to ensure efficient workflow and excellent customer service.Ensure high level of customer satisfaction by providing prompt and courteous service. Address customer inquiries, resolve customer complaints and maintain a welcoming and friendly atmosphere.Monitor and manage financial transactions, including sales, expenses and inventory. Prepare reports, analyse data and flawless execution of marketing program to optimize profitability.Ensure compliance with all relevant laws, regulations, company policies and operating standards. Implement safety protocols, conduct regular inspections and address any safety concerns promptly.Handle any other ad hoc responsibility assigned to you.Job Requirements:Previous experience in a supervisory or managerial role, preferably in the petrol station or retail industry.Strong leadership and interpersonal skills, with the ability to motivate and manage a diverse team.Excellent customer service and communication skills.- Knowledge of safety regulations and best practices.Proficiency in financial management and basic accounting principles.Strong problem-solving and decision-making abilities.Flexibility to work in shifts, including weekends and holidays.High attention to detail and ability to prioritize tasks effectively."
926,Maek Consulting Pte Ltd,Engineering Intern,24 Apr 2024,"Entry Level / Junior Executive, Experienced / Senior Executive","Immediate Start, For At Least 2 Months",Engineering,Consultancy,"Boon Lay Way, Tradehub 21, Singapore","$800 - 1,000 monthly",Architectural and engineering consultancy specialising in heritage conservation and building diagnosis.www.maek.com.sg.,"1) Carry out software simulation for energy simulation such as Energy Plus, IDA ICE for a selected architecture2) Carry out sofware hygrothermal simulation using WUFI or other similar softwareRequirements1) Familiar with engineering simulation software for energy simulation such as Energy Plus, IDA ICE, WUFI and others2) Familiar with CAD and enginering simulation software.3) Background in Architecture, Mechanical Engineering, HVAC, Building Science or similar field4) Able to work independently"
